iter	Logloss
118	0.3273824005
119	0.3268496373
120	0.3259255219
121	0.324845164
122	0.3241122462
123	0.3233436508
124	0.3222674688
125	0.3217466482
126	0.3210937475
127	0.3206186345
128	0.3198881734
129	0.3191766764
130	0.3186268946
131	0.3180775452
132	0.3175015259
133	0.316459198
134	0.3156943919
135	0.3152225622
136	0.3147041168
137	0.3140559031
138	0.3130943654
139	0.3124167913
140	0.3114456355
141	0.3107371902
142	0.30932105
143	0.3086043294
144	0.3079592514
145	0.3075415904
146	0.3067073237
147	0.3061286697
148	0.3056224747
149	0.3051532237
150	0.3043411942
151	0.3036175766
152	0.3030468852
153	0.3025360285
154	0.3019487559
155	0.3011959279
156	0.300663765
157	0.3000574977
158	0.2996097946
159	0.2991593068
160	0.2986974157
161	0.2977087555
162	0.2971659368
163	0.2966326523
164	0.296009964
165	0.2954791463
166	0.2945871251
167	0.2940964483
168	0.2936524099
169	0.2929769999
170	0.2924096858
171	0.2920280228
172	0.2916970317
173	0.290605367
174	0.2899905675
175	0.2891661046
176	0.2886886113
177	0.2881415507
178	0.2876656214
179	0.287197642
180	0.2865049693
181	0.2860808156
182	0.2855121892
183	0.2850077413
184	0.2844662221
185	0.2839354986
186	0.2834944814
187	0.2831297531
188	0.2826410421
189	0.2822435989
190	0.2817735418
191	0.2814607417
192	0.280896403
193	0.2803972041
194	0.2800203756
195	0.2795781759
196	0.2791393382
197	0.2788470128
198	0.278461141
199	0.2779426244
200	0.2774894892
201	0.2771783371
202	0.2767505519
203	0.2764034449
204	0.2760843302
205	0.2756357091
206	0.2753543396
207	0.2750960744
208	0.2744560649
209	0.2740952276
210	0.2737892354
211	0.2733626684
212	0.2729369609
213	0.2725231934
214	0.2722257741
215	0.271791509
216	0.271528478
217	0.2711216075
218	0.2705708898
219	0.27026474
220	0.2699987564
221	0.2696473236
222	0.2691645559
223	0.2688510869
224	0.2684856008
225	0.2682123082
226	0.2678115743
227	0.2674372279
228	0.267125562
229	0.2667723846
230	0.266237119
231	0.2658223292
232	0.2655076167
233	0.2652144368
234	0.2646507772
235	0.2643333282
236	0.2638809153
237	0.2634154472
238	0.263187851
239	0.2628943418
240	0.2626023954
241	0.2623467433
242	0.2620345446
243	0.2617666257
244	0.2614168816
245	0.2611119143
246	0.2603822352
247	0.2601100108
248	0.2598764267
249	0.2596296488
250	0.2593098246
251	0.2589154841
252	0.2586442973
253	0.258391229
254	0.2580337524
255	0.2576354637
256	0.2573000374
257	0.2569893328
258	0.2565240466
259	0.2562185822
260	0.2559956411
261	0.255802695
262	0.2554085859
263	0.2549858335
264	0.2547228978
265	0.2545167058
266	0.2542675311
267	0.2539416949
268	0.2534715843
269	0.2532159246
270	0.2529392039
271	0.2527254651
272	0.2524364713
273	0.2522066218
274	0.2519447556
275	0.2516777776
276	0.2514266752
277	0.2512107251
278	0.2509973068
279	0.2502007751
280	0.2497199262
281	0.2494338277
282	0.2491551361
283	0.2488894196
284	0.2485263964
285	0.2481130702
286	0.2478115514
287	0.2475718969
288	0.2470662982
289	0.2467340164
290	0.2465543531
291	0.246288077
292	0.2460936203
293	0.2457563972
294	0.2454168002
295	0.2450903308
296	0.2448303134
297	0.2446585999
298	0.2444107793
299	0.2441540006
300	0.2435872154
301	0.2432785581
302	0.2429897652
303	0.2427925123
304	0.2425402107
305	0.2423178914
306	0.2419915568
307	0.2417392273
308	0.2415021248
309	0.2412989324
310	0.2411186066
311	0.2409705391
312	0.2407123502
313	0.2404326591
314	0.2402024473
315	0.2400128136
316	0.2396733678
317	0.239383845
318	0.2391464856
319	0.2388310852
320	0.2385867793
321	0.2383190778
322	0.2380630391
323	0.2376675377
324	0.2374740079
325	0.237108682
326	0.2367196884
327	0.2365254186
328	0.2363167318
329	0.2360158679
330	0.2357612394
331	0.2355116119
332	0.2353016357
333	0.2350735054
334	0.2347982381
335	0.2346079979
336	0.234326547
337	0.2340674019
338	0.2337149684
339	0.2332961744
340	0.2330938632
341	0.2328878466
342	0.2326668854
343	0.2324219386
344	0.2322490273
345	0.2320182228
346	0.2318318138
347	0.2316659724
348	0.2313849869
349	0.2311766027
350	0.2309980354
351	0.2308334376
352	0.2306353442
353	0.2304175237
354	0.2301899109
355	0.230021183
356	0.229723952
357	0.2295252126
358	0.2293253962
359	0.2290860176
360	0.22887537
361	0.2286212171
362	0.2284186732
363	0.2282530365
364	0.2280712547
365	0.2276883125
366	0.2274755389
367	0.2272936287
368	0.2271399434
369	0.2269229101
370	0.2267225189
371	0.2265348778
372	0.2264073512
373	0.2261459846
374	0.2260084928
375	0.2258731575
376	0.2256715457
377	0.2255137609
378	0.2253680687
379	0.2251166318
380	0.2249390882
381	0.2247473513
382	0.2245872599
383	0.2242633438
384	0.2240818036
385	0.2238617274
386	0.2236389618
387	0.2233614604
388	0.2231904615
389	0.2230446561
390	0.2228181292
391	0.2226028188
392	0.2224458631
393	0.2222891897
394	0.2220652212
395	0.2218328616
396	0.221688474
397	0.2215175438
398	0.2213100599
399	0.2211029167
400	0.2209296163
401	0.2207045771
402	0.2205001806
403	0.2202944438
404	0.2201432152
405	0.2199292043
406	0.2197672908
407	0.2195723419
408	0.2193554497
409	0.2191735229
410	0.2190247142
411	0.2188604673
412	0.2186048876
413	0.2184703623
414	0.2183345782
415	0.2181173592
416	0.2179535192
417	0.2177147725
418	0.2174809316
419	0.2173072802
420	0.2170986366
421	0.2168957545
422	0.2167670339
423	0.2165549316
424	0.2163414675
425	0.2161119932
426	0.2159023806
427	0.2157650452
428	0.2155202624
429	0.2153494377
430	0.2152148043
431	0.2150546354
432	0.2149068298
433	0.2147790387
434	0.2145661519
435	0.2144200109
436	0.2142808215
437	0.2140897357
438	0.2138947118
439	0.2137699102
440	0.213609422
441	0.2134513079
442	0.2132624105
443	0.2130828845
444	0.2129218458
445	0.2127503115
446	0.2125830434
447	0.2123888791
448	0.212196167
449	0.2120428111
450	0.2118246244
451	0.2115869637
452	0.2113963687
453	0.2111556956
454	0.211017971
455	0.2108547173
456	0.2107260501
457	0.210519385
458	0.2103901609
459	0.2102320112
460	0.2101070213
461	0.2099204191
462	0.2098150266
463	0.2096427956
464	0.2095225588
465	0.2093326429
466	0.2091479251
467	0.2088659795
468	0.2087231954
469	0.2086060117
470	0.2084543889
471	0.208355854
472	0.208213
473	0.2080639229
474	0.2079245186
475	0.2077605565
476	0.2075465597
477	0.2073678093
478	0.2071973419
479	0.2070585276
480	0.2069106382
481	0.2067852224
482	0.2065851313
483	0.2064621137
484	0.2062695096
485	0.2061406301
486	0.2059388771
487	0.2057226206
488	0.2055960528
489	0.2054614169
490	0.2052230797
491	0.2050909704
492	0.20490271
493	0.2046867154
494	0.204583135
495	0.2043932546
496	0.204211174
497	0.2038959134
498	0.2037606735
499	0.2036285782
