iter	Logloss
0	0.6571637421
1	0.629749354
2	0.6090154215
3	0.5882102407
4	0.5720837606
5	0.5575375519
6	0.547129542
7	0.5368072713
8	0.5282518412
9	0.5215375417
10	0.5139479116
11	0.5086484172
12	0.5022910843
13	0.498240799
14	0.4935640564
15	0.4896987991
16	0.4837408854
17	0.4811153844
18	0.4781106567
19	0.4724015808
20	0.4690287526
21	0.465418246
22	0.4627564367
23	0.4595060425
24	0.4561097158
25	0.4528540344
26	0.4502155711
27	0.4472632345
28	0.4446207072
29	0.4427686259
30	0.4406377487
31	0.4381602707
32	0.4363664907
33	0.4341653773
34	0.4314329554
35	0.4300372747
36	0.427883433
37	0.4247113063
38	0.4229320221
39	0.420425649
40	0.4183784231
41	0.4168848648
42	0.4154244944
43	0.4141662369
44	0.4126566442
45	0.4102746607
46	0.409095164
47	0.4071134338
48	0.4054666417
49	0.4045504532
50	0.4028060455
51	0.4014576492
52	0.3998744151
53	0.398300972
54	0.396176885
55	0.3950883408
56	0.393221489
57	0.3922820841
58	0.3913084412
59	0.389219223
60	0.3875436681
61	0.3865924861
62	0.3856151988
63	0.3844347178
64	0.383380071
65	0.382532046
66	0.3815333074
67	0.3789635391
68	0.3769734014
69	0.3760183334
70	0.3745657806
71	0.3728835068
72	0.3710747426
73	0.3698980331
74	0.369113149
75	0.3684351959
76	0.3671216532
77	0.3657553889
78	0.3649536336
79	0.3642078196
80	0.3628048782
81	0.3616986059
82	0.3607709401
83	0.3595963643
84	0.3583111979
85	0.357333491
86	0.3565885162
87	0.3558315709
88	0.355139005
89	0.3543910065
90	0.3532129847
91	0.3526193949
92	0.3521379318
93	0.3510177078
94	0.3503639297
95	0.3492086207
96	0.3486869659
97	0.347493276
98	0.3468960724
99	0.3455211563
100	0.3448893407
101	0.3440299911
102	0.3434122518
103	0.3425589625
104	0.341600469
105	0.3404466782
106	0.3393660533
107	0.3381510773
108	0.3371529261
109	0.336562266
110	0.3356484782
111	0.3351442286
112	0.3341931992
113	0.3330222346
114	0.3318928197
115	0.3310715383
116	0.3292814535
117	0.3283701884
